INFO 2012-08-17 17:00:10,765 views 3084 3968 Got file: "980u_3.jpg"
INFO 2012-08-17 17:00:10,767 views 3084 3552 Got file: "980u_2_2_2.jpg"
INFO 2012-08-17 17:00:10,767 views 3084 4496 Got file: "980u_2_2_1.jpg"
INFO 2012-08-17 17:00:11,322 views 3084 4360 File saving done
INFO 2012-08-17 17:00:11,930 views 3084 3968 File saving done
INFO 2012-08-17 17:00:12,203 views 3084 4280 Got file: "980u_2_3.jpg"
INFO 2012-08-17 17:00:12,203 views 3084 4136 Got file: "980u_3_1.jpg"
INFO 2012-08-17 17:00:12,203 views 3084 3912 Got file: "980u_2_2_3.jpg"
INFO 2012-08-17 17:00:12,203 views 3084 3148 Got file: "980u_2_1_1.jpg"
INFO 2012-08-17 17:00:14,290 views 3084 3552 File saving done
INFO 2012-08-17 17:00:14,782 views 3084 4496 File saving done
INFO 2012-08-17 17:00:14,956 views 3084 4792 Got file: "IMG_0515_2.JPG"
INFO 2012-08-17 17:00:14,966 views 3084 3668 Got file: "IMG_0515_1_1.JPG"
INFO 2012-08-17 17:00:15,128 views 3084 1672 Got file: "IMG_0515.JPG"
INFO 2012-08-17 17:00:15,128 views 3084 2704 Got file: "IMG_0515_1.JPG"
INFO 2012-08-17 17:00:15,151 views 3084 3308 File saving done
INFO 2012-08-17 17:00:15,446 views 3084 2704 File saving done
INFO 2012-08-17 17:00:16,628 views 3084 3668 File saving done
ERROR 2012-08-17 17:00:17,145 views 3084 5004 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:00:17,256 views 3084 708 load_photo
ERROR 2012-08-17 17:00:17,575 views 3084 4360 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:00:17,661 views 3084 4436 load_photo
INFO 2012-08-17 17:00:18,040 views 3084 4792 File saving done
INFO 2012-08-17 17:00:18,051 views 3084 708 Got file: "IMG_0515_2_1.JPG"
INFO 2012-08-17 17:00:18,072 views 3084 4436 Got file: "IMG_0515_2_1_1.JPG"
INFO 2012-08-17 17:00:18,546 views 3084 708 File saving done
ERROR 2012-08-17 17:00:20,651 views 3084 3552 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:00:21,628 views 3084 1088 load_photo
INFO 2012-08-17 17:00:21,638 views 3084 1088 Got file: "IMG_0515_2_1_1_1.JPG"
ERROR 2012-08-17 17:00:22,007 views 3084 4496 Cannot generate thumbnail: database is locked
ERROR 2012-08-17 17:00:22,007 views 3084 3308 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:00:22,572 views 3084 928 load_photo
INFO 2012-08-17 17:00:22,572 views 3084 4616 load_photo
INFO 2012-08-17 17:00:22,835 views 3084 4292 load_photo
ERROR 2012-08-17 17:00:23,375 views 3084 2704 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:00:23,516 views 3084 1088 File saving done
INFO 2012-08-17 17:00:24,061 views 3084 3988 load_photo
ERROR 2012-08-17 17:00:25,540 views 3084 3668 Cannot generate thumbnail: database is locked
ERROR 2012-08-17 17:00:26,118 views 3084 3968 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:00:26,247 views 3084 3988 Got file: "IMG_0515_3.JPG"
ERROR 2012-08-17 17:00:26,558 views 3084 4792 Cannot generate thumbnail: database is locked
ERROR 2012-08-17 17:00:26,757 views 3084 708 Cannot generate thumbnail: database is locked
INFO 2012-08-17 17:00:27,661 views 3084 4292 Got file: "IMG_0515_2_2.JPG"
INFO 2012-08-17 17:00:29,118 views 3084 4292 File saving done
INFO 2012-08-17 17:00:30,710 views 3084 3988 File saving done
INFO 2012-08-17 17:00:53,500 views 3084 2640 load_photo
INFO 2012-08-17 17:00:53,694 views 3084 2640 Got file: "IMG_0515_3_1.JPG"
INFO 2012-08-17 17:00:53,950 views 3084 2640 File saving done
INFO 2012-08-17 17:02:50,108 views 3084 3932 load_photo
INFO 2012-08-17 17:02:50,164 views 3084 3932 Got file: "IMG_0515_3_1_2.JPG"
INFO 2012-08-17 17:02:50,250 views 3084 3932 File saving done
INFO 2012-08-17 17:03:19,335 views 3084 3052 load_photo
INFO 2012-08-17 17:03:19,372 views 3084 3052 Got file: "IMG_0517_4.JPG"
INFO 2012-08-17 17:03:19,430 views 3084 3052 File saving done
INFO 2012-08-17 17:04:03,049 views 3084 2852 load_photo
INFO 2012-08-17 17:04:03,111 views 3084 2852 Got file: "IMG_0515_3.JPG"
INFO 2012-08-17 17:04:03,279 views 3084 2852 File saving done
INFO 2012-08-17 17:04:26,611 views 3084 328 load_photo
INFO 2012-08-17 17:04:26,621 views 3084 1120 load_photo
INFO 2012-08-17 17:04:26,634 views 3084 1524 load_photo
INFO 2012-08-17 17:04:26,634 views 3084 4988 load_photo
INFO 2012-08-17 17:04:26,644 views 3084 2432 load_photo
INFO 2012-08-17 17:04:26,793 views 3084 1524 Got file: "IMG_0515_1_1_1.JPG"
INFO 2012-08-17 17:04:26,793 views 3084 4988 Got file: "IMG_0515_1_2.JPG"
INFO 2012-08-17 17:04:26,793 views 3084 2432 Got file: "IMG_0515_2.JPG"
INFO 2012-08-17 17:04:26,793 views 3084 328 Got file: "IMG_0515_1.JPG"
INFO 2012-08-17 17:04:26,803 views 3084 1120 Got file: "IMG_0515_1_1.JPG"
INFO 2012-08-17 17:04:26,953 views 3084 1120 File saving done
INFO 2012-08-17 17:04:27,437 views 3084 1524 File saving done
INFO 2012-08-17 17:04:28,249 views 3084 4988 File saving done
INFO 2012-08-17 17:04:30,003 views 3084 2432 File saving done
